District,Soil_Type,Previous_Crop,Current_Crop,Stage,N,P,K,pH,Moisture,Target_Action,Situation
Umerkot,Light Sandy,Bajra,None,Empty Field,27.1,11.7,21.0,8.22,14.0,Moth bean,Pre-Sowing
Tharparkar,Desert Sand,None,Desert grasses,Flowering,8.5,11.7,32.6,8.29,15.3,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,None,Guar,Flowering,22.0,30.5,46.1,8.32,14.3,Nutrients Optimal - No Action Needed,Growth
Umerkot,Loamy,Chilli,None,Empty Field,91.8,38.8,128.4,6.87,35.7,Sunflower,Pre-Sowing
Mirpur Khas,Silt Loam,Sugarcane,None,Empty Field,136.0,46.4,201.2,6.85,59.2,Cotton,Pre-Sowing
Tharparkar,Sandy,Desert grasses,None,Empty Field,24.2,32.9,46.4,8.45,21.2,Guar,Pre-Sowing
Umerkot,Loamy,None,Sunflower,Seedling,63.5,30.8,87.5,7.53,31.6,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Sandy Loam,Sunflower,None,Empty Field,95.3,32.5,84.2,6.53,38.7,Jowar,Pre-Sowing
Umerkot,Light Sandy,None,Sunflower,Flowering,28.1,17.8,62.0,8.25,13.6,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Umerkot,Loamy,Onion,None,Empty Field,51.8,21.4,42.8,7.49,18.4,Moth bean,Pre-Sowing
Umerkot,Light Sandy,Bajra,None,Empty Field,81.3,38.7,79.8,6.64,39.6,Jowar,Pre-Sowing
Tharparkar,Desert Sand,None,Dates,Flowering,69.9,46.0,81.8,8.71,5.8,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,Dates,None,Empty Field,9.6,15.2,23.1,8.46,6.6,Desert grasses,Pre-Sowing
Umerkot,Sandy Loam,Sunflower,None,Empty Field,41.8,14.5,34.9,8.55,7.8,Moth bean,Pre-Sowing
Mirpur Khas,Alluvial,Onion,None,Empty Field,35.4,19.7,53.9,7.29,22.1,Wheat,Pre-Sowing
Mirpur Khas,Clay Loam,Wheat,None,Empty Field,75.3,32.2,82.3,7.01,35.7,Wheat,Pre-Sowing
Tharparkar,Sandy,None,Guar,Vegetative,10.6,21.7,24.0,8.22,8.3,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,None,Moth bean,Flowering,17.3,35.9,31.4,7.55,9.4,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Silt Loam,Mango,None,Empty Field,118.4,46.4,184.7,6.54,58.8,Onion,Pre-Sowing
Tharparkar,Sandy,None,Wheat,Maturity,75.8,30.8,104.7,7.14,37.2,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,Wheat,None,Empty Field,9.5,25.8,29.1,9.16,7.5,Desert grasses,Pre-Sowing
Umerkot,Loamy,None,Wheat,Flowering,83.2,25.6,86.7,7.54,27.2,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,Desert grasses,None,Empty Field,119.6,68.2,110.1,8.01,21.6,Dates,Pre-Sowing
Tharparkar,Desert Sand,None,Dates,Seedling,115.4,53.6,141.0,7.77,9.0,Nutrients Optimal - No Action Needed,Growth
Umerkot,Loamy,None,Onion,Seedling,114.3,60.0,175.2,6.85,61.7,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Silt Loam,None,Guava,Flowering,103.0,51.7,126.5,6.78,49.4,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,None,Tomato,Vegetative,76.1,47.8,129.3,6.22,51.3,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Loamy,Cotton,None,Empty Field,93.5,42.6,122.9,7.08,29.8,Wheat,Pre-Sowing
Mirpur Khas,Loamy,Wheat,None,Empty Field,114.4,58.1,193.3,6.79,51.7,Onion,Pre-Sowing
Umerkot,Light Sandy,None,Sunflower,Flowering,72.8,30.0,76.0,7.67,27.2,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy Loam,Jowar,None,Empty Field,47.6,16.1,56.0,8.26,25.3,Guar,Pre-Sowing
Tharparkar,Sandy Loam,Moth bean,None,Empty Field,17.2,32.0,48.8,7.92,11.2,Moth bean,Pre-Sowing
Tharparkar,Sandy,Dates,None,Empty Field,5.1,3.0,15.0,9.31,2.4,Desert grasses,Pre-Sowing
Mirpur Khas,Alluvial,None,Chilli,Flowering,71.5,36.6,107.9,6.41,40.1,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,None,Dates,Maturity,59.8,42.6,73.4,8.4,7.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Desert Sand,None,Moth bean,Vegetative,19.2,25.6,49.8,8.55,21.1,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,Guar,None,Empty Field,80.8,39.3,100.1,7.57,43.8,Wheat,Pre-Sowing
Mirpur Khas,Alluvial,Onion,None,Empty Field,197.5,84.0,255.1,6.71,83.8,Banana,Pre-Sowing
Mirpur Khas,Clay Loam,Chilli,None,Empty Field,176.7,79.8,244.1,6.95,79.1,Sugarcane,Pre-Sowing
Tharparkar,Desert Sand,Dates,None,Empty Field,5.4,8.8,15.0,9.47,2.7,Desert grasses,Pre-Sowing
Tharparkar,Desert Sand,Wheat,None,Empty Field,31.0,10.7,19.1,8.99,5.8,Desert grasses,Pre-Sowing
Tharparkar,Sandy Loam,None,Bajra,Vegetative,79.2,25.1,53.5,7.93,27.2,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy,Dates,None,Empty Field,64.2,33.7,79.5,8.46,25.5,Bajra,Pre-Sowing
Tharparkar,Desert Sand,None,Dates,Flowering,107.2,66.7,126.9,7.87,20.4,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,Cotton,None,Empty Field,101.6,48.8,135.0,6.35,41.3,Guava,Pre-Sowing
Tharparkar,Desert Sand,None,Jowar,Vegetative,35.4,17.0,33.2,8.48,7.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Light Sandy,Chilli,None,Empty Field,20.6,34.2,46.6,8.13,27.5,Moth bean,Pre-Sowing
Mirpur Khas,Clay Loam,None,Tomato,Seedling,82.9,36.2,136.6,7.31,41.8,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,Bajra,None,Empty Field,59.6,17.3,62.8,7.19,26.6,Jowar,Pre-Sowing
Tharparkar,Sandy Loam,None,Wheat,Vegetative,35.9,10.1,36.3,8.22,15.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Clay,Bajra,None,Empty Field,93.5,38.9,87.5,6.89,34.7,Jowar,Pre-Sowing
Tharparkar,Desert Sand,None,Jowar,Flowering,66.4,20.0,46.5,8.23,19.1,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,None,Moth bean,Maturity,34.3,40.7,48.9,7.13,26.8,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy,Bajra,None,Empty Field,70.8,31.4,59.1,7.61,19.1,Jowar,Pre-Sowing
Umerkot,Clay,Cotton,None,Empty Field,54.9,14.9,86.7,8.28,24.1,Guar,Pre-Sowing
Umerkot,Light Sandy,None,Onion,Flowering,102.6,51.4,174.4,7.04,54.6,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Clay Loam,Guava,None,Empty Field,92.9,23.8,80.6,8.15,36.9,Wheat,Pre-Sowing
Umerkot,Clay,Onion,None,Empty Field,30.9,11.8,72.3,7.87,16.6,Guar,Pre-Sowing
Tharparkar,Desert Sand,None,Desert grasses,Seedling,6.4,7.2,15.0,8.92,3.1,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,Guar,None,Empty Field,5.0,15.4,15.0,9.47,3.6,Desert grasses,Pre-Sowing
Mirpur Khas,Loamy,None,Sugarcane,Flowering,212.4,72.9,197.0,7.22,73.6,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,Banana,None,Empty Field,115.5,50.1,150.7,6.8,56.5,Chilli,Pre-Sowing
Tharparkar,Sandy Loam,None,Desert grasses,Seedling,5.2,5.6,15.4,7.83,3.1,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,None,Guar,Seedling,21.2,28.3,46.4,7.63,18.4,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy,None,Bajra,Vegetative,73.0,20.4,73.9,8.12,21.9,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,None,Sunflower,Flowering,75.0,26.4,84.2,7.83,27.9,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,Dates,None,Empty Field,58.0,33.5,57.2,7.88,19.6,Jowar,Pre-Sowing
Umerkot,Clay,Guar,None,Empty Field,65.6,24.9,70.9,8.21,19.6,Guar,Pre-Sowing
Tharparkar,Sandy Loam,Bajra,None,Empty Field,45.1,13.4,36.7,7.99,9.2,Bajra,Pre-Sowing
Tharparkar,Sandy Loam,None,Desert grasses,Seedling,12.2,17.0,22.8,8.06,13.8,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,Onion,None,Empty Field,90.6,40.9,98.6,7.51,42.1,Bajra,Pre-Sowing
Mirpur Khas,Alluvial,Tomato,None,Empty Field,91.3,32.9,100.2,6.23,79.7,Guava,Pre-Sowing
Mirpur Khas,Clay Loam,None,Mango,Seedling,60.4,23.7,97.5,7.34,21.6,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Clay,None,Onion,Seedling,68.1,39.3,120.1,7.34,36.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,Jowar,None,Empty Field,9.1,14.7,20.8,7.69,6.5,Desert grasses,Pre-Sowing
Mirpur Khas,Alluvial,Cotton,None,Empty Field,77.1,19.6,94.4,7.97,25.8,Wheat,Pre-Sowing
Tharparkar,Sandy Loam,None,Dates,Flowering,76.4,39.5,69.0,8.81,6.9,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Light Sandy,Bajra,None,Empty Field,73.0,24.7,67.7,7.97,17.4,Guar,Pre-Sowing
Umerkot,Loamy,None,Onion,Vegetative,76.6,36.5,104.1,6.57,43.9,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Sandy Loam,None,Jowar,Flowering,81.8,33.6,72.6,6.7,25.9,Nutrients Optimal - No Action Needed,Growth
Umerkot,Light Sandy,None,Sunflower,Seedling,66.2,33.3,90.1,7.87,37.4,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Loamy,Banana,None,Empty Field,38.6,30.1,107.8,7.2,15.8,Wheat,Pre-Sowing
Tharparkar,Sandy,None,Guar,Flowering,14.6,31.0,54.9,7.57,13.6,Nutrients Optimal - No Action Needed,Growth
Umerkot,Light Sandy,None,Onion,Vegetative,66.4,39.1,114.1,7.31,40.6,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,None,Jowar,Seedling,75.6,34.3,59.2,7.68,19.7,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy,Bajra,None,Empty Field,91.5,31.5,106.3,7.13,36.0,Wheat,Pre-Sowing
Tharparkar,Sandy Loam,Desert grasses,None,Empty Field,57.7,31.9,54.5,7.06,20.3,Jowar,Pre-Sowing
Tharparkar,Sandy,Wheat,None,Empty Field,86.4,37.1,92.2,7.18,28.2,Wheat,Pre-Sowing
Mirpur Khas,Clay Loam,Chilli,None,Empty Field,114.5,52.0,170.1,6.77,54.7,Onion,Pre-Sowing
Umerkot,Loamy,Cotton,None,Empty Field,54.1,23.3,92.1,8.03,18.3,Guar,Pre-Sowing
Tharparkar,Sandy,None,Guar,Maturity,8.1,25.8,26.5,8.18,9.6,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Silt Loam,None,Cotton,Maturity,41.3,27.1,70.0,8.07,26.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Tharparkar,Desert Sand,None,Guar,Maturity,13.1,32.4,43.2,8.17,10.6,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy,None,Jowar,Vegetative,73.5,29.8,44.0,7.84,13.7,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Silt Loam,None,Chilli,Seedling,61.5,22.0,41.7,7.76,24.4,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Tharparkar,Desert Sand,None,Wheat,Maturity,38.9,7.1,43.1,8.93,10.1,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Mirpur Khas,Clay Loam,None,Mango,Seedling,43.9,15.5,67.3,7.14,20.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Silt Loam,Sugarcane,None,Empty Field,77.2,43.9,120.1,6.24,47.1,Guava,Pre-Sowing
Umerkot,Loamy,Wheat,None,Empty Field,95.7,34.7,114.1,7.58,47.4,Wheat,Pre-Sowing
Umerkot,Loamy,Wheat,None,Empty Field,87.3,46.3,136.2,7.33,48.5,Sunflower,Pre-Sowing
Umerkot,Clay,Moth bean,None,Empty Field,57.0,20.9,49.8,7.44,19.9,Moth bean,Pre-Sowing
Tharparkar,Sandy Loam,Moth bean,None,Empty Field,95.7,71.2,116.5,7.95,17.5,Dates,Pre-Sowing
Tharparkar,Desert Sand,Wheat,None,Empty Field,64.5,17.6,58.0,8.15,21.3,Bajra,Pre-Sowing
Tharparkar,Sandy,Guar,None,Empty Field,11.1,24.8,23.2,8.56,8.5,Desert grasses,Pre-Sowing
Tharparkar,Sandy Loam,Bajra,None,Empty Field,68.9,46.5,73.2,8.54,7.1,Bajra,Pre-Sowing
Tharparkar,Sandy Loam,None,Bajra,Maturity,71.8,34.7,56.6,8.22,26.2,Nutrients Optimal - No Action Needed,Growth
Umerkot,Clay,Bajra,None,Empty Field,29.1,17.7,65.9,8.08,18.6,Guar,Pre-Sowing
Umerkot,Sandy Loam,None,Wheat,Seedling,91.5,32.5,127.1,6.99,39.0,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,Sugarcane,None,Empty Field,64.3,31.0,98.0,6.58,27.2,Guava,Pre-Sowing
Umerkot,Sandy Loam,Wheat,None,Empty Field,97.4,41.3,127.8,7.58,46.1,Wheat,Pre-Sowing
Tharparkar,Sandy Loam,None,Desert grasses,Maturity,20.3,13.8,19.2,8.0,4.7,Nutrients Optimal - No Action Needed,Growth
Umerkot,Clay,Cotton,None,Empty Field,90.1,39.2,120.7,6.6,36.9,Sunflower,Pre-Sowing
Umerkot,Loamy,Bajra,None,Empty Field,19.0,37.0,38.4,8.77,15.8,Moth bean,Pre-Sowing
Tharparkar,Desert Sand,None,Bajra,Seedling,36.9,12.9,43.3,8.9,8.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Sandy Loam,Guar,None,Empty Field,93.5,58.7,133.5,7.4,53.3,Chilli,Pre-Sowing
Tharparkar,Sandy Loam,None,Wheat,Maturity,69.7,39.9,88.5,7.07,31.2,Nutrients Optimal - No Action Needed,Growth
Umerkot,Light Sandy,None,Onion,Seedling,44.3,17.5,94.2,7.76,21.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Umerkot,Light Sandy,Bajra,None,Empty Field,73.4,40.3,105.4,7.26,38.7,Bajra,Pre-Sowing
Mirpur Khas,Silt Loam,None,Mango,Maturity,123.1,54.2,160.8,6.96,42.8,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,Dates,None,Empty Field,71.4,30.8,43.2,8.42,15.0,Guar,Pre-Sowing
Mirpur Khas,Silt Loam,Sugarcane,None,Empty Field,73.1,35.3,119.9,7.06,24.8,Wheat,Pre-Sowing
Mirpur Khas,Alluvial,Chilli,None,Empty Field,111.1,65.2,188.6,6.42,61.8,Tomato,Pre-Sowing
Tharparkar,Sandy,Bajra,None,Empty Field,76.2,19.5,43.7,8.47,22.6,Bajra,Pre-Sowing
Tharparkar,Desert Sand,Bajra,None,Empty Field,18.0,8.1,23.3,8.78,5.6,Desert grasses,Pre-Sowing
Tharparkar,Sandy,Guar,None,Empty Field,17.9,10.7,26.3,8.77,5.3,Desert grasses,Pre-Sowing
Tharparkar,Desert Sand,Jowar,None,Empty Field,76.8,29.3,87.9,7.24,29.5,Wheat,Pre-Sowing
Tharparkar,Sandy,None,Guar,Maturity,9.9,19.0,22.6,8.0,7.4,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy Loam,Guar,None,Empty Field,7.0,10.4,16.4,9.19,3.7,Desert grasses,Pre-Sowing
Mirpur Khas,Alluvial,None,Wheat,Maturity,89.2,26.3,84.3,7.7,32.4,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Desert Sand,Wheat,None,Empty Field,62.7,18.8,66.0,8.23,24.6,Bajra,Pre-Sowing
Umerkot,Light Sandy,Moth bean,None,Empty Field,100.6,35.6,114.7,7.08,31.6,Wheat,Pre-Sowing
Mirpur Khas,Alluvial,Tomato,None,Empty Field,98.8,42.9,124.8,6.7,46.0,Wheat,Pre-Sowing
Umerkot,Loamy,None,Bajra,Flowering,83.5,30.3,86.3,6.78,38.0,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Silt Loam,None,Wheat,Vegetative,108.6,40.8,131.0,6.56,46.7,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,None,Wheat,Vegetative,71.0,27.6,96.4,6.92,29.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Alluvial,None,Banana,Maturity,147.5,59.0,197.1,7.18,57.7,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Loamy,None,Cotton,Vegetative,112.5,44.4,156.2,7.43,50.8,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,None,Dates,Maturity,83.1,43.4,92.5,8.88,5.9,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Silt Loam,Mango,None,Empty Field,88.9,49.0,142.7,6.94,53.4,Wheat,Pre-Sowing
Mirpur Khas,Clay Loam,Onion,None,Empty Field,186.1,82.5,260.2,6.25,74.4,Banana,Pre-Sowing
Umerkot,Loamy,None,Moth bean,Maturity,11.7,26.2,31.2,7.8,13.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Silt Loam,Wheat,None,Empty Field,129.1,52.1,162.2,6.18,53.5,Mango,Pre-Sowing
Umerkot,Sandy Loam,Moth bean,None,Empty Field,78.8,24.6,81.4,7.42,26.8,Jowar,Pre-Sowing
Umerkot,Loamy,Cotton,None,Empty Field,98.7,44.0,105.0,6.93,44.2,Sunflower,Pre-Sowing
Tharparkar,Sandy Loam,None,Jowar,Seedling,21.4,9.4,20.1,8.92,4.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Loamy,None,Chilli,Flowering,63.5,39.6,106.0,6.6,36.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,Guar,None,Empty Field,20.6,8.3,20.2,8.93,3.0,Desert grasses,Pre-Sowing
Umerkot,Light Sandy,None,Guar,Vegetative,15.3,34.8,43.6,8.1,15.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,Dates,None,Empty Field,5.0,3.3,15.0,9.5,2.6,Desert grasses,Pre-Sowing
Tharparkar,Sandy Loam,None,Jowar,Maturity,17.1,9.4,17.8,8.91,5.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy,Desert grasses,None,Empty Field,64.1,20.1,54.6,7.27,14.2,Jowar,Pre-Sowing
Umerkot,Light Sandy,None,Chilli,Maturity,79.6,30.3,106.7,7.86,35.0,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Alluvial,Cotton,None,Empty Field,98.5,38.9,76.4,5.88,77.8,Rice,Pre-Sowing
Mirpur Khas,Alluvial,Chilli,None,Empty Field,34.4,29.2,48.5,7.23,29.3,Wheat,Pre-Sowing
Mirpur Khas,Loamy,None,Guava,Flowering,56.3,23.1,52.8,7.05,20.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Clay,Wheat,None,Empty Field,36.3,13.6,54.3,7.75,13.7,Guar,Pre-Sowing
Mirpur Khas,Silt Loam,Mango,None,Empty Field,113.5,65.2,188.9,6.62,52.4,Onion,Pre-Sowing
Tharparkar,Sandy Loam,Dates,None,Empty Field,77.7,35.1,89.0,7.34,28.6,Wheat,Pre-Sowing
Tharparkar,Sandy Loam,Bajra,None,Empty Field,73.7,31.9,51.3,8.31,12.0,Bajra,Pre-Sowing
Tharparkar,Sandy Loam,None,Desert grasses,Maturity,5.4,6.7,15.0,7.71,3.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,Moth bean,None,Empty Field,9.5,19.8,19.7,7.88,7.9,Desert grasses,Pre-Sowing
Tharparkar,Desert Sand,Wheat,None,Empty Field,51.4,19.9,58.1,8.41,22.6,Bajra,Pre-Sowing
Mirpur Khas,Alluvial,Wheat,None,Empty Field,106.1,45.8,123.5,7.16,47.7,Wheat,Pre-Sowing
Mirpur Khas,Loamy,None,Guava,Vegetative,66.7,35.2,101.7,6.06,32.0,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Sandy Loam,None,Cotton,Seedling,83.3,25.5,127.9,7.92,29.2,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,None,Bajra,Maturity,51.4,15.2,45.2,8.28,8.4,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Alluvial,Chilli,None,Empty Field,113.9,64.5,204.5,6.18,42.4,Mango,Pre-Sowing
Mirpur Khas,Alluvial,Rice,None,Empty Field,118.6,58.2,137.7,5.95,86.0,Rice,Pre-Sowing
Umerkot,Loamy,None,Guar,Maturity,19.6,34.0,44.8,7.98,17.5,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Sandy Loam,Chilli,None,Empty Field,24.3,50.9,49.5,7.9,24.8,Guar,Pre-Sowing
Tharparkar,Sandy Loam,Bajra,None,Empty Field,17.5,43.2,45.6,8.11,15.2,Moth bean,Pre-Sowing
Umerkot,Clay,Jowar,None,Empty Field,104.4,61.2,176.1,6.55,57.2,Onion,Pre-Sowing
Tharparkar,Desert Sand,Dates,None,Empty Field,5.0,3.0,15.0,9.5,2.5,Desert grasses,Pre-Sowing
Umerkot,Sandy Loam,Onion,None,Empty Field,91.2,37.0,79.8,6.77,31.9,Jowar,Pre-Sowing
Umerkot,Clay,Onion,None,Empty Field,96.7,34.4,88.3,7.2,31.1,Bajra,Pre-Sowing
Tharparkar,Desert Sand,None,Wheat,Seedling,47.9,16.0,63.0,8.23,23.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Loamy,Wheat,None,Empty Field,130.4,56.5,203.1,6.62,59.2,Onion,Pre-Sowing
Tharparkar,Sandy,Dates,None,Empty Field,79.3,49.1,74.4,8.44,7.4,Bajra,Pre-Sowing
Mirpur Khas,Alluvial,None,Tomato,Seedling,127.7,62.0,163.6,6.99,64.0,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,None,Wheat,Maturity,40.8,12.9,63.2,7.75,24.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Alluvial,Banana,None,Empty Field,124.1,49.0,139.8,5.51,86.1,Rice,Pre-Sowing
